index	table_id	annotator_id	premise	hypothesis	label
714	T239	GW9	 The breed of Chicado V is Quarter Horse.  The discipline of Chicado V is Racing.  The sire of Chicado V is Chicaro Bill.  The maternal grandsire of Chicado V is St. Louis. 	Chicado V's parents were not both famous racehorses .	1
1547	T2714	GW86	 The elevation of Karaj is 1,312 m (4,304 ft).  The urban area of Karaj is 1,592,492 (2016 Census).  The metro area of Karaj is 1,973,470 (2016 Census).  The city area of Karaj is 162 km 2  (63 sq mi). 	The highest elevation point in Karaj is not approximately 1 , 312 m .	1
656	T564	GW12	 Danny Elfman was born on ( 1953-05-29 )  May 29, 1953  (age 65)  Los Angeles, California, U.S..  The genres of Danny Elfman are Rock, ska, new wave, film music, video game music.  The occupation(s) of Danny Elfman is Composer, singer, songwriter, record producer.  The years active of Danny Elfman was on 1972 - present. 	The singing career of Danny Elfman didn't begin in 1972 .	1
341	T473	GW28	   Chris Brown is a musician.  Chris Brown was born as Christopher Maurice Brown ,  (1989-05-05) May 5, 1989 (age 29) , Tappahannock, Virginia, U.S..  The associated acts of Chris Brown are Benny Benassi, Big Sean, The Game, Jacquees, Joyner Lucas, Kevin McCall, Lil Wayne, Nicki Minaj, Rihanna, Sevyn Streeter, T-Pain, Tyga.  The occupation of Chris Brown are Singer, rapper, songwriter, dancer, actor, record producer.   	Chris Brown is not an American singer .	0
1694	T2401	GW121	 The land area of Halifax is 5,490.35 km 2  (2,119.84 sq mi).  The urban area of Halifax is 234.72 km 2  (90.63 sq mi).  The highest elevation of Halifax is 241.9 m (793.6 ft).  The lowest elevation of Halifax is 0 m (0 ft).  	The lowest elevation of Halifax is not more than 1000 feet lower than its highest elevation .	0
1235	T1816	GW4	 I, Tonya was directed by Craig Gillespie.  I, Tonya was produced by Tom Ackerley, Margot Robbie, Steven Rogers, Bryan Unkeless.  I, Tonya was written by Steven Rogers.  I, Tonya was edited by Tatiana S. Riegel. 	I , Tonya was not written and directed by the same person .	2
1606	T2692	GW1	 The density of Tbilisi is 3,194.38/km 2  (8,273.4/sq mi).  The metro area of Tbilisi is 1,485,293.  The area code(s) of Tbilisi is +995 32.  The capital city of Tbilisi are Population: 1,158,700 (2018), Area: 504.2 km2 (194.7 sq mi). 	Tbilisi doesn't have over 1 . 5 million people in the metro area .	2
964	T594	GW51	 Clint Eastwood was born as Clinton Eastwood Jr. ,  (1930-05-31) May 31, 1930 (age 88) , San Francisco, California, U.S..  The other political affiliations of Clint Eastwood was on Independent (1974-1997), Republican (before 1952 - 1974).  The domestic partner of Clint Eastwood is Sondra Locke  , ( c. 1975;  sep. 1989) , Frances Fisher  , ( c. 1990;  sep. 1995).  The children of Clint Eastwood are Undetermined number, including  with Roxanne Tunis:, -Kimber Tunis ( b. 1964), with Johnson:, -Kyle Eastwood ( b. 1968), -Alison Eastwood ( b. 1972), with Jacelyn Reeves:, -Scott Eastwood ( b. 1986), -Kathryn Reeves ( b. 1988), with Fisher:, -Francesca Eastwood ( b. 1993), with Ruiz:, -Morgan Eastwood ( b. 1996), by a woman who declines to be identified:, Laurie Murray (b. 1954). 	Clint Eastwood has not been the governor of California .	2
861	T545	GW12	 The origin of Clean Bandit is Cambridge, Cambridgeshire, England.  The genres of Clean Bandit are Electronic, classical crossover, electropop, dance-pop.  The labels of Clean Bandit are Atlantic, Black Butter.  The associated acts of Clean Bandit are Jess Glynne, Marina, Anne-Marie. 	Clean Bandit is not a country music group originating in England .	2
161	T1464	GW84	   John James Rickard Macleod, FRS is a person.  John James Rickard Macleod, FRS was born on ( 1876-09-06 ) 6 September 1876  Clunie, Perthshire, Scotland.  John James Rickard Macleod, FRS died on 16 March 1935 (1935-03-16)  (aged 58)  Aberdeen, Scotland.  The awards of John James Rickard Macleod, FRS is Nobel Prize in Physiology or Medicine (1923).   	John James Rickard Macleod didn't die in a country outside of where he was born .	2
