index	table_id	annotator_id	premise	hypothesis	label
1601	T1690	GW86	   The billed height of Jinder Mahal is 6 ft 5 in (196 cm).  The billed weight of Jinder Mahal is 238 lb (108 kg).  The billed from of Jinder Mahal is Punjab, India.  The debut of Jinder Mahal was on 2002.    	JinAder Mahal mde hi debut in the 1990X.	0
1289	T719	GW4	   Cristiano Ronaldo is a person.  The full name of Cristiano Ronaldo is Cristiano Ronaldo dos Santos Aveiro.  The date of birth of Cristiano Ronaldo was on (1985-02-05) 5 February 1985 (age 33).  The place of birth of Cristiano Ronaldo is Funchal, Madeira, Portugal.   	Cristiano Ronaldo has always lived in Egypt.	1
1444	T1680	GW1	 The birth name of Jock Lewes is John Steel Lewes.  Jock Lewes was born on ( 1913-12-21 ) 21 December 1913 Calcutta, Bengal Presidency, British India.  Jock Lewes died on 30 December 1941 (1941-12-30)  (aged 28) Cyrenaica, Italian Libya.  The years of service of Jock Lewes was on 1935-1941. 	The Winter of 1512 is when Jock Lewes was born.	0
1132	T1950	GW74	 Jada Pinkett Smith was born on ( 1971-09-18 )  September 18, 1971  (age 47)   Baltimore, Maryland, U.S..  The occupation of Jada Pinkett Smith are Actress, Singer-Songwriter, Businesswoman.  The years active of Jada Pinkett Smith is 1990-present.  The spouse(s) of Jada Pinkett Smith is Will Smith ( m.  1997). 	Jada Pinkett Smith began her career the year she turned 1.	0
677	T336	GW27	 Charles Snead Houston was born on August 24, 1913 ( 1913-08-24 )  New York City, New York.  Charles Snead Houston died on September 27, 2009 (2009-09-27)  (aged 96)  Burlington, Vermont.  The education of Charles Snead Houston are Harvard College, Columbia University College of Physicians and Surgeons.  The children of Charles Snead Houston is 1 daughter Penny, and two sons David and Robin.. 	Charles Snead Houston was not born in New York and died in Vermont .	0
247	T1798	GW93	   Hindi Medium was distributed by AA Films.  Hindi Medium is a movie.  Hindi Medium was starring Irrfan Khan, Saba Qamar, Deepak Dobriyal, Dishita Sehgal.  The production company of Hindi Medium are T-Series, Maddock Films.    	Hindi Medium doesn't have four starring actors/actresses .	0
368	T778	GW6	   The manufacturer of Crystal Head Vodka is Globefill Inc..  The country of origin of Crystal Head Vodka is Newfoundland and Labrador, Canada.  The introduced of Crystal Head Vodka is Southern California, 2008.  The alcohol by volume of Crystal Head Vodka is 40%.   	Crystal Head Vodka was developed in Canada for years before 1147.	1
1664	T2354	GW116	 The reign of George III was on 25 October 1760 -  ,  29 January 1820.  The coronation of George III was on 22 September 1761.  The predecessor of George III is George II.  The successor of George III is George IV.  	George III’s reign didn't end on his own decision .	1
101	T357	GW0	 The prime minister  of Republic of Bulgaria is Boyko Borisov.  The capital and largest city was on Sofia 42Â°41â²N 23Â°19â²E / 42.683Â°N 23.317Â°E.  The official script of Republic of Bulgaria is Cyrillic.  The president  of Republic of Bulgaria is Rumen Radev. 	Rumen Radev is the longest serving president of Sint Maarten (Dutch part).	1
436	T534	GW0	   The type of Ciroc is Vodka.  The country of origin of Ciroc is France.  The proof (us) of Ciroc is 70-80.  The variants of Ciroc are Snap Frost  (Blue) ,  French Vanilla  (Beige) ,  Red Berry  (Red) ,  Coconut  (Silver) ,  Peach  (Orange) ,  Amaretto  (Brown) ,  Pineapple  (Yellow) ,  Apple  (Green) ,  Mango  (Orange) ,  Pink Grapefruit  (pink) ,  Summer Colada [Limited] (Gold) ,  VS French Brandy (Brown) ,  Black Raspberry (Black).   	C?OC is maiQnly consmued ni iGs county of origin.	1
1106	T1837	GW84	 The budget of Hulk is $137 million.  In the box office, Hulk made $245.4 million.   The release date of Hulk is June 20, 2003.  The running time of Hulk is 138 minutes. 	Hulk was released over eleven years ago.	0
1210	T1162	GW28	 The role of Boeing 757 is Narrow-body jet airliner.  The manufacturer of Boeing 757 is Boeing Commercial Airplanes.  Boeing 757 was first flight on February 19, 1982.  The primary users of Boeing 757 are Delta Air Lines ,  FedEx Express, United Airlines, UPS Airlines. 	The Boeing 757 is not an American jet airliner .	0
1158	T1584	GW4	   Josiah Warren was born on 1798  Boston, Massachusetts, US.  Josiah Warren died on April 14, 1874 (1874-04-14)  (aged 76)  Boston, Massachusetts, US.  The main interests of Josiah Warren are The individual, economics, intentional communities.  The influenced of Josiah Warren are Benjamin Tucker, Stephen Pearl Andrews, John Stuart Mill, European Individualist anarchism.    	Josiah Warren lived their whole life in Duncanville.	1
1499	T1230	GW72	   Brigitte Nielsen was born as Gitte Nielsen ,  (1963-07-15) 15 July 1963 (age 55) , Rødovre, Denmark.  The years active of Brigitte Nielsen is 1984-present.  The spouse(s) of Brigitte Nielsen is Kasper Winding ( m. 1983-1984) , Sylvester Stallone , ( m. 1985;  div. 1987) , Sebastian Copeland ( m. 1990-1992) , Raoul Meyer ( m. 1993-2005) , Mattia Dessi ( m. 2006).  The number of children of Brigitte Nielsen are 5.    	Brigitte Nielsen married four times throughout her life.	2
1276	T543	GW51	   The country of India vs Pakistan 1999 is India.  The single match of India vs Pakistan 1999 is 465,000 (Five-day Test) India v. Pakistan at Eden Gardens, Kolkata, 16-20 February 1999.  The season of India vs Pakistan 1999 are 1,592,543 (Total), 26,528 per match, 2017 IPL.    	Botswana faced Malawi in a five day match in 1999.	0
