index	table_id	annotator_id	premise	hypothesis	label
1209	T1988	GW84	   The artist of In a Roman Osteria is Carl Bloch.  The year of In a Roman Osteria is 1866.  The dimensions of In a Roman Osteria is 148.5 cm 177.5 cm (58.5 in 69.9 in).  The location of In a Roman Osteria is National Gallery of Denmark, Copenhagen.    	Carl Bloch's work was mostly completed in the 1860s.	1
2	T1446	GW28	   Jennifer Aniston is a person.  The parent(s) of Jennifer Aniston are Nancy Dow, John Aniston.   The education of Jennifer Aniston is Fiorello H. LaGuardia High School of Music & Art and Performing Arts.  The occupation of Jennifer Aniston are Actress, film producer, businesswoman.   	Jennifer Aniston is the owner of a number of businesses.	1
1263	T1337	GW22	   Last completed was founded on 1881; 138 years ago (1881).  The editions of Last completed is 138 (2018).  Last completed was surface on Grass - outdoors (1881-1974) , Clay - outdoors (1975-1977) , Hard - outdoors (since 1978).  The prize money of Last completed is US$53 million (2018).   	The US Open was launched in 1881, 138 years ago.	2
1246	T1988	GW84	   In a Roman Osteria is a painting.  The artist of In a Roman Osteria is Carl Bloch.  The medium of In a Roman Osteria is Oil on canvas.  The location of In a Roman Osteria is National Gallery of Denmark, Copenhagen.    	Carl Bloch never used oil paints.	0
571	T2032	GW93	   The president of Republic of Indonesia is Joko Widodo.  The vice president of Republic of Indonesia is Jusuf Kalla.  The dpr speaker of Republic of Indonesia is Bambang Soesatyo.  The chief justice of Republic of Indonesia is Muhammad Hatta Ali.   	The president of the Republic of Indonesia is Joko Widodo.	2
581	T476	GW14	   Corduroy was born on ( 1989-08-01 ) August 1, 1989 Oregon, United States.  Corduroy died on c. November 2016 (age 27) Oregon, United States.  Corduroy was known for Oldest living cat.  The owner of Corduroy is Ashley Reed Okura.    	Ashley Okura is now residing in the state of Oregon.	1
409	T447	GW27	   The people's republic declared  was on 21 September 1949.  The proclamation of the people's republic  was on 1 October 1949.  The current constitution  was on 4 December 1982.  The last polity admitted  was on 20 December 1999.    	Before the People's Republic was established, China had a constitution.	0
217	T272	GW2	   The birth name of Chet Baker is Chesney Henry Baker.  Chet Baker was born on December 23, 1929 ( 1929-12-23 )  Yale, Oklahoma, United States.  Chet Baker died on May 13, 1988 (1988-05-13)  (aged 58) Amsterdam, Netherlands.  The associated acts of Chet Baker are Gerry Mulligan , Art Pepper , Stan Getz.    	In the Netherlands, Chesney Henry Baker was born.	0
226	T785	GW6	   The studio of Ctrl are No Excuses, The Lake House in Michigan, EngineEars, Platinum Sounds, Top Dawg House of Pain, Josef Leimberg's studios, Windmark, 1500 or Nothin' Studios.  The genre of Ctrl are Alternative R&B, neo soul.  The label of Ctrl are Top Dawg, RCA.  The producer of Ctrl are Anthony 'Top Dawg' Tiffith (exec.), Terrence 'Punch' Henderson (assoc.), Dave 'Miyatola' Free (assoc.), Bekon, Craig Balmoris, Hector Castro, Cam O'bi, The Donuts, Frank Dukes, Carter Lang, Josef Leimberg, Scum, ThankGod4Cody.    	Ctrl is a hybrid of alternative R&B and neo-soul.	1
1194	T1174	GW4	   The location of Television/radio coverage is The O2 Arena (2010-) , Royal Albert Hall (1996-2008) , Wembley Conference Centre (1995).  The country of Television/radio coverage is United Kingdom.  Television/radio coverage was first awarded on 1995.  The runtime of Television/radio coverage is 150 minutes  (inc. adverts).   	The National Television Awards have usually lasted more than two hours.	1
546	T429	GW42	   The type of Compton, California is Council-Manager.  The city council of Compton, California are Mayor: Aja Brown, Janna Zurita, Isaac Galvan, Tana McCoy, Nandak Dhurjati.  The city manager of Compton, California is Cecil W. Rhambo, Jr..  The city treasurer of Compton, California is Douglas Sanders.   	Compton's municipal council includes more than five members.	1
681	T849	GW14	   Dear Zindagi was edited by Hemanti Sarkar.  Dear Zindagi was produced by Gauri Khan ,  Karan Johar ,  Gauri Shinde.  Dear Zindagi was screenplay by Gauri Shinde.  Dear Zindagi was starring Alia Bhatt ,  Shah Rukh Khan.   	The script for Dear Zindagi was written by Alia Bhatt and Hemanti Sarkar.	0
1349	T1498	GW1	   Jhene Aiko is a musician.  The associated acts of Jhene Aiko are Ab-Soul, B2K, Big Sean, Childish Gambino, Cocaine 80s, Dot da Genius, Drake, Kendrick Lamar, Mila J, Omarion, Schoolboy Q.  Jhene Aiko was born on ( 1988-03-16 )  March 16, 1988  (age 30)  Los Angeles, California, U.S..  The occupation(s) of Jhene Aiko are Singer, songwriter.   	Prior to becoming a professional singer, Jhen? Aiko worked as a composer.	1
1130	T1878	GW60	   Identity Crisis is a book.  The artist(s) of Identity Crisis is Michael Turner (cover).  The penciller(s) of Identity Crisis is Rags Morales.  The letterer(s) of Identity Crisis is Ken Lopez.   	The book's penciller was also a creator.	2
686	T917	GW51	   Cairo is a city.  The city area of Cairo is 19.500.000.  The metro area of Cairo is 20.439.541.  The time zone of Cairo is UTC+2 (EET).   	Cairo is in the same time zone as many American cities.	0
192	T68	GW0	   The genres of Jet is Garage rock, hard rock, alternative rock, indie rock.  The years active of Jet was on 2001-2012, 2016-present.  The labels of Jet is Atlantic, Elektra, EMI Music Group, Rubber.  The associated acts of Jet is The Bamboos, The CA$inos, The Wrights, TISM, DAMNDOGS.    	Jet hasn't performed in almost five years.	0
1367	T2033	GW28	   Hounds of Love is a album.  Hounds of Love was released on 16 September 1985.  Hounds of Love was recorded on January 1984 - June 1985.  The studio of Hounds of Love are Wickham Farm Home Studio (Welling, England), Windmill Lane Studios, Abbey Road Studios (orchestral sections).   	Millions of records were sold by Hounds of Love.	1
355	T400	GW27	   Jordan Peele was born as Jordan Haworth Peele    ( 1979-02-21 )  February 21, 1979  (age 39)   New York City, U.S..  The alma mater of Jordan Peele is Sarah Lawrence College.  The years active of Jordan Peele was on 2002 - present.  The spouse(s) of Jordan Peele is Chelsea Peretti ( m.  2016).   	"Jordan Haworth Peele was married before he became ""involved"" in the entertainment industry."	0
1245	T1650	GW40	   Jemaine Clement is a musician.  The genres of Jemaine Clement are Observational comedy, satire, black comedy, self-deprecation, cringe comedy, deadpan, folk, acoustic.  The occupation(s) of Jemaine Clement are Singer, comedian, musician, actor, voice actor, director, writer.  The instruments of Jemaine Clement are Bass guitar, guitar, percussion, keyboards, ukulele, omnichord, drums, xylophone, accordion,, vocals.   	Jemaine Clement is a multi-instrumentalist who can play the guitar, bass guitar, and drums, among other instruments.	2
1148	T1804	GW93	   In the box office, It made $700.4 million.   The release date of It are September 5, 2017 (TCL Chinese Theatre), September 8, 2017 (United States).  The running time of It is 135 minutes.  The budget of It is $35 million.   	It has a running time of under two hours.	0
39	T791	GW28	   The venue of Colectiv nightclub fire is Club Colectiv.  The property damage of Colectiv nightclub fire is Interior of the club destroyed.  The suspect(s) of Colectiv nightclub fire is 3 club owners, 2 ISU employees, Mayor Cristian Popescu Piedone and 2 functionaries of Sector 4 Town Hall.  The also known as of Colectiv nightclub fire is Club Colectiv tragedy.   	In a hip-hop club, a fire broke out inside Colectiv nightclub.	1
