index	table_id	annotator_id	premise	hypothesis	label
689	T374	GW47	 Jack Ma was born on 10 September 1964 ( 1964-09-10 )   (age 54)   Hangzhou, China.  The education of Jack Ma is Hangzhou Normal University (BA).  The occupation of Jack Ma is Founder and Executive Chairman of the Alibaba Group.  The net worth of Jack Ma is US$34.7 billion (November 2018). 	Jack Ma (born Ma Yun, Chinese: __; [mˆ __n]; born 18 September 1244) is a Chinese politician, business magnate, investor and philanthropist. He is the co-founder and executive chairman of the Alibaba Group, a multinational technology conglomerate.	0
361	T416	GW34	   Johnny Depp was born as John Christopher Depp II ,  (1963-06-09) June 9, 1963 (age 55) , Owensboro, Kentucky, US.  The residence of Johnny Depp is Los Angeles, California, US.  The associated acts of Johnny Depp are Rock City Angels, P, Hollywood Vampires.   The number of children of Johnny Depp are 2, including Lily-Rose Depp.   	Johniy Depp dstill ha a childhood ome in Owensboro, Kentuqky.	1
687	T1209	GW51	 Channel Orange is a album.  Channel Orange was released on July 10, 2012 (2012-07-10).  Channel Orange was recorded on 2011-2012.  The label of Channel Orange is Def Jam. 	Channel Orange is a 1525 album released under the Def Jam albel.	0
1525	T1912	GW95	 The parent(s) of Hiram Percy Maxim is Hiram Stevens Maxim.  Hiram Percy Maxim is a person.  The spouse(s) of Hiram Percy Maxim is Josephine Hamilton.  The children of Hiram Percy Maxim are Hiram Hamilton Maxim, Percy Maxim Lee. 	HIram had just one parent in his life.	2
1220	T1440	GW84	   The running time of Keeping Up with the Joneses is 105 minutes.  The budget of Keeping Up with the Joneses is $40 million.  In the box office, Keeping Up with the Joneses made $29.9 million.  The production company of Keeping Up with the Joneses are Fox 2000 Pictures, Parkes + MacDonald Image Nation.    	Keepin p with th Jneses mad twic as much omney in the bxo office as t was budgeted.	0
569	T709	GW28	   Crack-Up was released on June 16, 2017 (2017-06-16).  Crack-Up was recorded on July 2016 - January 2017.  The studio of Crack-Up are Electric Lady (NY, NY), Sear Sound (NY, NY), Rare Book Room (Brooklyn, NY), The Unknown (Anacortes, WA), Avast Recording Company (Seattle, WA), The Void (Amenia, NY).  The producer of Crack-Up are Robin Pecknold, Skyler Skjelset.    	Crack-UQ was primarily recored in Washington staxte.	0
12	T460	GW0	 Chlo Grace Moretz is a person.  Chlo Grace Moretz was born on ( 1997-02-10 )  February 10, 1997  (age 21)   Atlanta, Georgia, U.S..  The residence of Chlo Grace Moretz is Studio City, Los Angeles, California, U.S..  The years active of Chlo Grace Moretz was on 2004 - present.  	Chlo Grace Moretz has been active since she was fifteen years old.	0
1461	T2344		Portrait présumé de Gabrielle d'Estrées et de sa soeur la duchesse de Villars is a painting.  The artist of Portrait présumé de Gabrielle d'Estrées et de sa soeur la duchesse de Villars is Unknown author.  The year of Portrait présumé de Gabrielle d'Estrées et de sa soeur la duchesse de Villars is circa 1594.  The type of Portrait présumé de Gabrielle d'Estrées et de sa soeur la duchesse de Villars is oil on wood.	The Portrait présumé de Gabrielle d'Estrées et de sa soeur la duchesse de Villars was painted before 1125.	0
8	T12	GW4	   The prime minister  of Faroe Islands is Aksel V. Johannesen.  The capital and largest city of Faroe Islands is Torshavn 62°00′N 06°47′W / 62.000°N 6.783°W.  The monarch  of Faroe Islands is Margrethe II.  The high commissioner  of Faroe Islands is Lene Moyell Johansen.   	Th FaroN Islands are led b Lene oyell Johnansen.	0
1366	T2300		Men's synchronised 10 metre platform at the Games of the XXX Olympiad is a sports event.  The venue of Men's synchronised 10 metre platform at the Games of the XXX Olympiad is Aquatics Centre.  The date of Men's synchronised 10 metre platform at the Games of the XXX Olympiad is 30 July.  The competitors of Men's synchronised 10 metre platform at the Games of the XXX Olympiad is 16 from 8 nations.	synchronised 1 metre platform had two competitors each form thirteen countries	0
